Czas[s]	Prad[A]	SilaZ[N]	Przyspieszenie[m/s^2]	Predkosc[m/s]	Polozenie[mm]
0.0	0.0	0	0.0	0.0	0
0.0005	49.73259473681648	4.981029694080739	24.905148470403695	0.012452574235201849	0.0
0.001	98.28117540878138	19.46275532948136	97.3137766474068	0.061109462558905245	0.006226287117600925
0.0015	145.47468784813154	42.75556927688968	213.7778463844484	0.16799838575112946	0.03678101839705355
0.002	191.1508937695803	74.85251547316172	374.26257736580857	0.35512967443403376	0.12078021127261829
0.0025	235.15684617617725	115.2947101172956	576.4735505864779	0.6433664497272727	0.29834504848963517
0.003	277.3493181279968	163.3523891590118	816.761945795059	1.0517474226248023	0.6200282733532716
0.0035	317.5951840793653	227.0640007726633	1135.3200038633163	1.6194074245564605	1.1459019846656728
0.004	355.7717531960908	304.0985848576714	1520.492924288357	2.379653886700639	1.955605696943903
0.0045000000000000005	391.76705426819024	411.0303762376584	2055.151881188292	3.4072298272947847	3.1454326402942225
0.005	425.4800720351492	554.282070071343	2771.410350356715	4.792935002473142	4.849047553941615
0.0055	456.82093493902437	758.3852559043949	3791.9262795219743	6.6888981422341285	7.245515055178186
0.006	485.71105451499113	1054.672201909588	5273.36100954794	9.325578647008099	10.58996412629525
0.006500000000000001	512.0832168185395	1461.298259869365	7306.491299346824	12.97882429668151	15.2527534497993
0.007	535.8816264727775	1984.626177820425	9923.130889102125	17.940389741232572	21.742165598140055
0.0075	557.0619040975547	2440.226496762406	12201.132483812029	24.040955983138588	30.71236046875634
0.008	575.5910380538146	2246.130169733447	11230.650848667234	29.656281407472203	42.73283846032564
0.0085	591.4472916011136	1123.153415939604	5615.767079698019	32.464164947321215	57.56097916406174
0.009000000000000001	604.6200667231442	259.4805650521038	1297.402825260519	33.112866359951475	73.79306163772235
0.0095	615.1097260248409	-471.6554430211178	-2358.2772151055888	31.93372775239868	90.34949481769809
0.01	622.9273742448423	-1494.537243391889	-7472.686216959444	28.19738464391896	106.31635869389743
0.0105	628.0946010582973	-2893.829295448026	-14469.14647724013	20.962811405298893	120.4150510158569
0.011	630.6431869669238	-3120.019510955069	-15600.097554775344	13.16276262791122	130.89645671850636
0.0115	630.6147741855291	-2775.249380641305	-13876.246903206524	6.224639176307958	137.47783803246196
0.012	628.060504536625	-2556.049517695996	-12780.24758847998	-0.16548461793203195	140.59015762061594
0.0125	623.040626457124	-2512.010298579107	-12560.051492895533	-6.445510364379798	140.50741531164994
0.013000000000000001	615.6240733031711	-2669.965812273982	-13349.82906136991	-13.120424895064753	137.28466012946004
0.0135	605.8880152108834	-2860.384591071521	-14301.922955357604	-20.271386372743557	130.72444768192767
0.014	593.9173868319893	-2607.535019426695	-13037.675097133473	-26.790223921310293	120.58875449555589
0.0145	579.8043933141071	-1408.075502034655	-7040.377510173275	-30.31041267639693	107.19364253490075
0.015	563.6479969356232	-517.6987239446929	-2588.4936197234642	-31.60465948625866	92.03843619670228
0.0155	545.5533868349231	144.2594770046727	721.2973850233635	-31.24401079374698	76.23610645357294
0.016	525.6314342931408	743.7120697242793	3718.5603486213963	-29.384730619436283	60.614101056699454
0.0165	503.9981360387766	1494.764678346599	7473.823391732995	-25.647818923569787	45.92173574698131
0.017	480.7740480416431	1809.161680834538	9045.808404172689	-21.124914721483442	33.09782628519642
0.0175	456.0837122528455	1461.983542737898	7309.91771368949	-17.4699558646387	22.535368924454698
0.018000000000000002	430.05507872711127	969.3130024809501	4846.565012404751	-15.046673358436323	13.800390992135348
0.0185	402.81892553404805	550.4321010282721	2752.1605051413603	-13.670593105865642	6.277054312917187
0.019	374.5082788261064	271.098208528049	1355.4910426402448	-12.992847584545519	-0.5582422400156339
0.0195	345.2578353835185	124.5679494867946	622.839747433973	-12.681427710828533	-7.054666032288393
0.02	315.20338990060844	57.95241811343207	289.7620905671603	-12.536546665544954	-13.39537988770266
