Po³o¿enie H0_el [mm]	Si³a [N]
-120.0	-2.54903960286199
-113.84615384615384	-3.473218342174393
-107.6923076923077	-5.092219248284877
-101.53846153846155	-9.499346889002462
-95.38461538461539	-17.5628649606339
-89.23076923076923	-33.50797197702039
-83.07692307692308	-59.02582463718665
-76.92307692307692	-99.41600697379681
-70.76923076923077	-146.1005826848391
-64.61538461538461	-188.2046813163786
-58.46153846153846	-220.8865209596421
-52.30769230769231	-242.016694115422
-46.15384615384616	-246.1836774502916
-40.0	-233.6156163931525
-33.84615384615384	-200.9739227929958
-27.692307692307693	-158.7603685603731
-21.538461538461533	-116.5548176714265
-15.384615384615387	-75.17963151439243
-9.230769230769226	-41.24210492216989
-3.07692307692308	-14.84997959865606
3.07692307692308	18.61438983803146
9.230769230769226	45.97988200540945
15.384615384615387	76.22570734836997
21.538461538461547	117.2983002172806
27.69230769230768	157.6867575601706
33.84615384615384	200.9858697816028
40.0	232.1586080335107
46.15384615384616	246.7131749585502
52.30769230769232	242.0655007803886
58.46153846153845	221.156734399445
64.61538461538461	185.0467841671956
70.76923076923077	144.7840862323059
76.92307692307693	99.8309629709282
83.07692307692307	58.5735638473532
89.23076923076923	32.97142998343185
95.38461538461539	19.01255822975626
101.53846153846155	10.72408578528454
107.69230769230768	6.288394053501382
113.84615384615384	3.209382024934318
120.0	2.158301059274272
