Po³o¿enie H0_el [mm]	Si³a [N]
-120.0	43.16902663597646
-113.84615384615384	68.39281032749726
-107.6923076923077	111.3413563153293
-101.53846153846155	183.5752088092873
-95.38461538461539	313.8081380924909
-89.23076923076923	545.4955909578559
-83.07692307692308	974.8910582234308
-76.92307692307692	1687.914608426085
-70.76923076923077	2627.789931532293
-64.61538461538461	3616.023237820894
-58.46153846153846	4377.425993837954
-52.30769230769231	4922.113676460801
-46.15384615384616	5033.853232079117
-40.0	4592.228197558889
-33.84615384615384	3682.712899021092
-27.692307692307693	2748.707668234095
-21.538461538461533	1939.891853984758
-15.384615384615387	1308.21816405591
-9.230769230769226	727.3909056919882
-3.07692307692308	239.137251739025
3.07692307692308	-233.308334000656
9.230769230769226	-751.9854763033458
15.384615384615387	-1232.107674142087
21.538461538461547	-2008.532484715004
27.69230769230768	-2720.998895702874
33.84615384615384	-3699.400264119352
40.0	-4566.380039694374
46.15384615384616	-5037.33231782851
52.30769230769232	-4900.844336338747
58.46153846153845	-4384.666041719253
64.61538461538461	-3587.820270322673
70.76923076923077	-2618.065963988192
76.92307692307693	-1691.254323899535
83.07692307692307	-974.2671693751126
89.23076923076923	-549.354398434946
95.38461538461539	-313.0700833637727
101.53846153846155	-183.6360279124406
107.69230769230768	-110.5248402771177
113.84615384615384	-69.2789347755766
120.0	-43.94381303031327
