freq_Hz,L_nH
100.0,(1.265692332415834-1.1291068760158712e-10j)
137.38237958832624,(1.2656734973682442-2.040793532217272e-11j)
188.73918221350976,(1.2656380140047871-2.6206110451093738e-11j)
259.2943797404667,(1.265571278435823+4.067825105735289e-13j)
356.2247890262444,(1.2654461519227231-2.438563452950117e-10j)
489.3900918477494,(1.265212905094017+1.216906107662553e-10j)
672.3357536499335,(1.264782770454969+2.3016522064579528e-10j)
923.6708571873866,(1.264005064747394+2.1035823142983738e-10j)
1268.9610031679222,(1.262647708784763-2.2477042206495353e-11j)
1743.3288221999874,(1.2604175410912402-6.079444861838455e-11j)
2395.026619987486,(1.257088929379517-5.899912173497671e-12j)
3290.3445623126677,(1.252753011649316+4.545850259159688e-11j)
4520.35365636024,(1.247952413585663+8.724825688446536e-11j)
6210.169418915616,(1.243383207492387+1.325976617912746e-10j)
8531.678524172805,(1.23942008364992-2.5573395020924642e-11j)
11721.022975334794,(1.236049177794786-1.262511042861617e-09j)
16102.620275609392,(1.233146253771798-3.536404780173218e-10j)
22122.1629107045,(1.230643311977443+6.170395670941903e-10j)
30391.95382313195,(1.228498462756744+3.112484820548759e-10j)
41753.189365604005,(1.226662951069226+1.2297445480070129e-09j)
57361.52510448681,(1.2250907650189042+9.311288532879793e-10j)
78804.62815669904,(1.223744417633117+9.13096470623715e-10j)
108263.6733874054,(1.222593141983864+2.673742518460216e-09j)
148735.21072935118,(1.2216083444644878-1.8492542472462439e-09j)
204335.97178569395,(1.220763154320926+8.215582088077204e-10j)
280721.62039411755,(1.2200346790396-2.154754882537276e-09j)
385662.04211634723,(1.2194043536606751-2.551510056416264e-09j)
529831.6906283702,(1.2188564250788139+4.6048922665698315e-09j)
727895.3843983146,(1.218377250928705-1.0094472000780091e-09j)
1000000.0,(1.217956014272939+2.672037679771556e-09j)
