freq_Hz,L_nH,B_T
100.0,(1.265692332415834-1.1291068760158712e-10j),(0.06580840890892876-4.210774249006711e-05j)
148.73521072935117,(1.2656666088193378+7.980885252227966e-11j),(0.06580745416390348-6.25885914908322e-05j)
221.22162910704503,(1.2656098635020072-1.9933654992728872e-11j),(0.06580534985339911-9.29591262899827e-05j)
329.03445623126674,(1.2654851125127649+6.804511404862095e-11j),(0.06580073301919945-0.000137833759195579j)
489.3900918477494,(1.265212905094017+1.216906107662553e-10j),(0.06579069860903336-0.00020363128592880083j)
727.8953843983154,(1.2646285262083852+1.198167235225184e-10j),(0.06576929985607897-0.00029857615492503135j)
1082.636733874054,(1.26341652611778-7.2120241908468e-11j),(0.06572528986385928-0.0004312921610644957j)
1610.2620275609393,(1.2610725075627158+4.693202818522499e-11j),(0.06564047913549483-0.0006061193620591646j)
2395.026619987486,(1.257088929379517-5.899912173497671e-12j),(0.06549422627237052-0.0008148559444182863j)
3562.2478902624443,(1.2515676951228791-3.701896583718101e-11j),(0.06528041831446775-0.0010360545676941614j)
5298.316906283713,(1.245604357576661-6.522908215190357e-10j),(0.06501785388841431-0.0012600641753458255j)
7880.462815669913,(1.240350541531288+2.9574904609612285e-10j),(0.06472100224777551-0.0015093762604218113j)
11721.022975334794,(1.236049177794786-1.262511042861617e-09j),(0.06437534350105203-0.001811444988510492j)
17433.288221999872,(1.232484599383203+3.54574519512407e-10j),(0.06395671929195712-0.0021781454283482425j)
25929.437974046672,(1.2295290756265012+6.022215910849507e-10j),(0.06344260001817002-0.0026147087969999893j)
38566.20421163472,(1.2270954847467381-1.65308653390582e-09j),(0.06281185420792547-0.003123237902604209j)
57361.52510448681,(1.2250907650189042+9.311288532879793e-10j),(0.06204299361461627-0.0037058847698309147j)
85316.78524172814,(1.223439437846503-2.5546361203142156e-09j),(0.061112398799884726-0.0043615856662756625j)
126896.10031679235,(1.2220816847433242-1.144016369461669e-09j),(0.059996296069591254-0.005087039605325405j)
188739.18221350995,(1.220962695035917+9.56050437080113e-11j),(0.05866582440745973-0.005875453407804549j)
280721.62039411813,(1.220034686583393-4.9593949901733476e-09j),(0.057086654853357115-0.00670578073200575j)
417531.8936560409,(1.219260218289218+2.0817296860929303e-09j),(0.05523055505433575-0.007535592159714089j)
621016.9418915616,(1.2186089954577661+1.882494683967837e-09j),(0.053086689654081184-0.008301745348763016j)
923670.8571873866,(1.218056373489704-2.441913934660642e-09j),(0.05067563654682997-0.008932550125316687j)
1373823.7958832637,(1.217584663687827-2.779593272393814e-09j),(0.04802631384887637-0.009365225934978193j)
2043359.7178569438,(1.2171818311051321-1.810117287621143e-09j),(0.04517050323762269-0.00948898578193253j)
3039195.382313201,(1.216841895790685+5.639836703010801e-10j),(0.04225065770136757-0.00914990243839169j)
4520353.65636025,(1.216565840804867-5.426617896746768e-10j),(0.03953939966102522-0.00830092961943137j)
6723357.5364993345,(1.216356200936092+2.594792288810539e-09j),(0.03728481836462215-0.00708717410617132j)
10000000.0,(1.216207756232143-2.649647060074452e-09j),(0.03556968611907812-0.005729707112493106j)
