Frequency_Hz,Inductance_uH,Force_N
40000.00000000001,(1.9792344953738303-0.03675192850958066j),0.002114698119399
47832.52698001613,(1.9761320827163278-0.043518211068577166j),0.00212991892086018
57198.76593234915,(1.973291574379225-0.05162317455022811j),0.002143839380196234
68399.03786706793,(1.970691282096021-0.06132586636774713j),0.002156575447710962
81792.47060459162,(1.9683114097790642-0.07293611248758451j),0.002168212756206333
97808.51392390761,(1.966133889692572-0.08682457606435165j),0.00217880495314155
116960.70952851458,(1.9641420750553766-0.10343471807681359j),0.0021883808300735
139863.15735311256,(1.9623204143585402-0.1232970508448442j),0.002196958476697487
167250.20619007456,(1.9606543015168794-0.1470460761849905j),0.002204562321619694
200000.00000000003,(1.959130128013658-0.17544044976124623j),0.002211235292459433
